stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
95,0.5,1.5,142.27502030000005,142.77512709999974,142.77512709999974,142.77512709999974,143.07550899999978,left,-1.5,1,1,1.0004623000004358,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
96,0.5,1.5,143.80814329999976,144.30856229999972,144.30856229999972,144.30856229999972,144.6080750000001,left,-1.5,1,1,0.6684636999998474,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
97,0.5,1.5,145.0080552999998,145.5080782,145.5080782,145.5080782,145.80795249999983,right,1.5,0,0,0.8538951000000452,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
98,0.5,2.0,146.39112699999987,146.8750141999999,146.8750141999999,146.89111830000002,147.17473889999974,right,2.0,0,0,0.5294086000003517,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
99,0.5,2.5,147.4242948000001,147.92427799999996,147.92427799999996,147.92427799999996,148.22457219999978,left,-2.5,1,1,0.7803993000002265,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
100,0.5,2.5,148.72450619999972,149.22476319999987,149.22476319999987,149.22476319999987,149.52457520000007,right,2.5,1,1,0.7311910000003081,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
101,0.5,2.5,149.97407859999976,150.47468219999973,150.47468219999973,150.47468219999973,150.77385479999975,left,-2.5,1,1,0.8198299000000588,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
102,0.5,2.0,151.32417799999985,151.82372290000012,151.82372290000012,151.82372290000012,152.12413879999986,left,-2.0,1,1,0.6782471000001351,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
103,0.5,2.0,152.5238085000001,153.02394300000014,153.02394300000014,153.02394300000014,153.32349769999973,left,-2.0,1,1,0.7327218999998877,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
104,0.5,2.0,153.77343500000006,154.27401680000003,154.27401680000003,154.27401680000003,154.5737623,left,-2.0,1,1,0.5839257000002362,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
105,0.5,1.5,154.8905365999999,155.3900891999997,155.3900891999997,155.3900891999997,155.6903557999999,right,1.5,1,1,0.6806210999998257,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
106,0.5,1.5,156.09055510000007,156.59046739999985,156.59046739999985,156.59046739999985,156.89046099999996,right,1.5,0,0,0.7441657999997915,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
107,0.5,2.0,157.3563162999999,157.85635079999975,157.85635079999975,157.85635079999975,158.157866,right,2.0,1,1,0.8050259000001461,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
108,0.5,2.0,158.68921009999985,159.17276309999988,159.17276309999988,159.1895239999999,159.4731213,left,-2.0,1,1,0.6398212000003696,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
109,0.5,2.0,159.83943499999987,160.33922819999998,160.33922819999998,160.33922819999998,160.6399263999997,right,2.0,1,1,0.7963305000002947,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
